text,label
. . . plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,0
"michael moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making , and he's got as potent a topic as ever here .",1
. . . too gory to be a comedy and too silly to be an effective horror film .,0
"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",1
the fact that the 'best part' of the movie comes from a 60-second homage to one of demme's good films doesn't bode well for the rest of it .,0
"the thriller side of this movie is falling flat , as the stalker doesn't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",0
more maudlin than sharp .,0
shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors . . .,0
"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",0
"haneke keeps us at arm's length . guided more by intellect than heart , his story flattens instead of sharpens .",0
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,1
"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised .",1
. . . somehow manages to escape the shackles of its own clichés to be the best espionage picture to come out in weeks .,1
"if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .",1
"high crimes carries almost no organic intrigue as a government/ marine/legal mystery , and that's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",0
the pace and the visuals are so hyped up that a curious sense of menace informs everything .,0
"you might not want to hang out with samantha , but you'll probably see a bit of yourself in her unfinished story .",1
"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . it's a buggy drag .",0
"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother .",0
"deflated ending aside , there's much to recommend the film .",1
"not always too whimsical for its own good ( but enough to do harm ) , this strange hybrid of crime thriller , quirky character study , third-rate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs .",0
one thing you have to give them credit for : the message of the movie is consistent with the messages espoused in the company's previous video work .,1
"it's weird , wonderful , and not necessarily for kids .",1
fear dot com is more frustrating than a modem that disconnects every 10 seconds .,0
perhaps the best sports movie i've ever seen .,1
"a terrific b movie -- in fact , the best in recent memory .",1
thoroughly enjoyable .,1
"it's a smart , solid , kinetically-charged spy flick worthy of a couple hours of summertime and a bucket of popcorn . nothing overly original , mind you , but solidly entertaining .",1
japanese director shohei imamura's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,1
an artsploitation movie with too much exploitation and too little art .,0
"at no point during k-19 : the widowmaker did this viewer feel enveloped in a story that , though meant to be universal in its themes of loyalty , courage and dedication to a common goal , never seems to leave the lot .",0
simply doesn't have sufficient heft to justify its two-hour running time .,0
escapism in its purest form .,1
"a preposterous , prurient whodunit .",0
"for all the time we spend with these people , we never really get inside of them .",0
"first , for a movie that tries to be smart , it's kinda dumb . and second , what's with all the shooting ?",0
the character of zigzag is not sufficiently developed to support a film constructed around him .,0
the film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design .,0
a tremendous piece of work .,1
something has been lost in the translation . . . another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise .,0
"a long , procession of despair , set to cello music culled from a minimalist funeral .",0
`matrix'-style massacres erupt throughout . . . but the movie has a tougher time balancing its violence with kafka-inspired philosophy .,0
"what redeems the film is the cast , particularly the ya-yas themselves .",1
a straight-ahead thriller that never rises above superficiality .,0
"allen se atreve a atacar , a atacarse y nos ofrece gags que van de la sonrisa a la risa de larga duración",1
"poetry in motion captured on film . while it can be a bit repetitive , overall it's an entertaining and informative documentary .",1
maudlin and melodramatic we expected . we didn't .,0
"i have no way of knowing exactly how much is exaggeration , but i've got a creepy feeling that the film is closer to the mark than i want to believe .",1
"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot .",1
"the most wondrous love story in years , it is a great film .",1
sewer rats could watch this movie and be so skeeved out that they'd need a shower .,0
qualities that were once amusing are becoming irritating .,0
"about schmidt is undoubtedly one of the finest films of the year . if you're not deeply touched by this movie , check your pulse .",1
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,1
an unsuccessful attempt at a movie of ideas .,0
it's a frankenstein-monster of a film that doesn't know what it wants to be .,0
"a worthwhile documentary , whether you're into rap or not , even if it may still leave you wanting more answers as the credits roll .",1
john leguizamo may be a dramatic actor -- just not in this movie .,0
"this familiar rise-and-fall tale is long on glamour and short on larger moralistic consequences , though it's told with sharp ears and eyes for the tenor of the times .",1
"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film .",1
jacquot's tosca is a treat .,1
it is refreshingly undogmatic about its characters .,1
a rambling ensemble piece with loosely connected characters and plots that never quite gel .,0
"the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot .",0
that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout .,0
"a jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages .",0
much of all about lily chou-chou is mesmerizing : some of its plaintiveness could make you weep .,1
"the slapstick is labored , and the bigger setpieces flat .",0
"at times auto focus feels so distant you might as well be watching it through a telescope . yet in its own aloof , unreachable way it's so fascinating you won't be able to look away for a second .",1
"as a tolerable diversion , the film suffices ; a triumph , however , it is not .",1
a bore that tends to hammer home every one of its points .,0
"a superfluous sequel . . . plagued by that old familiar feeling of 'let's get this thing over with' : everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .",0
conforms itself with creating a game of 'who's who' . . . where the characters' moves are often more predictable than their consequences .,0
"an exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world .",1
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0
kinnear's performance is a career-defining revelation .,1
"nohe has made a decent 'intro' documentary , but he feels like a spectator and not a participant .",0
the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess's home video of their baby's birth .,0
"this isn't a narrative film -- i don't know if it's possible to make a narrative film about september 11th , though i'm sure some will try -- but it's as close as anyone has dared to come .",1
an incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .,0
reggio's continual visual barrage is absorbing as well as thought-provoking .,1
rice never clearly defines his characters or gives us a reason to care about them .,0
just a collection of this and that -- whatever fills time -- with no unified whole .,0
"beers , who , when she's given the right lines , can charm the paint off the wall . . . [but] the script goes wrong at several key junctures .",0
"it is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",1
"it cannot be enjoyed , even on the level that one enjoys a slasher flick , primarily because it is . yes , .",0
death might be a release .,0
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .",1
"a grating , emaciated flick .",0
befuddled in its characterizations as it begins to seem as long as the two year affair which is its subject,0
"as tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne tv sets or nude groupies on the nod to liven things up .",0
"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner .",0
"it proves quite compelling as an intense , brooding character study .",1
"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue .",1
"cacoyannis' vision is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .",0
wow . i have not been this disappointed by a movie in a long time .,0
it's fairly self-aware in its dumbness .,1
"there's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme .",0
"with the exception of mccoist , the players don't have a clue on the park . the acting isn't much better .",0
"rather quickly , the film falls into a soothing formula of brotherly conflict and reconciliation .",0
a solid examination of the male midlife crisis .,1
reeks of rot and hack work from start to finish .,0
presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .,1
"while [hill] has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .",0
"a dark-as-pitch comedy that frequently veers into corny sentimentality , probably would not improve much after a therapeutic zap of shock treatment .",0
"not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted .",1
"by candidly detailing the politics involved in the creation of an extraordinary piece of music , [jones] calls our attention to the inherent conflict between commerce and creativity .",1
the ill-conceived modern-day ending falls flat where it should deliver a moral punch .,0
"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",1
a rather tired exercise in nostalgia .,0
"death to smoochy is often very funny , but what's even more remarkable is the integrity of devito's misanthropic vision .",1
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .",0
"ms . phoenix is completely lacking in charm and charisma , and is unable to project either esther's initial anomie or her eventual awakening .",0
"as elegantly crafted as it often is , anderson's movie is essentially a one-trick pony that , hampered by an undeveloped script , ultimately pulls up lame .",0
there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way .,1
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they'll be treated to an impressive and highly entertaining celebration of its sounds .",1
. . . [a] strained comedy that jettisons all opportunities for rock to make his mark by serving up the usual chaotic nonsense .,0
"despite its floating narrative , this is a remarkably accessible and haunting film .",1
tries to add some spice to its quirky sentiments but the taste is all too familiar .,0
"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",0
what was subtle and mystifying in the novella is now broad and farcical .,0
arnold's jump from little screen to big will leave frowns on more than a few faces .,0
a benign but forgettable sci-fi diversion .,0
"[a] wonderfully loopy tale of love , longing , and voting .",1
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .",1
"every bit as bogus as most disney live action family movies are -- no real plot , no real conflict , no real point .",0
one of those unassuming films that sneaks up on you and stays with you long after you have left the theatre .,1
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,1
